GEO_ID,Number
0500000US01029,
0500000US01031,
0500000US01037,
0500000US01039,
0500000US01041,
0500000US01045,
0500000US01049,
0500000US01053,
0500000US01057,
0500000US01061,
0500000US01067,
0500000US01075,
0500000US01077,
0500000US01079,
0500000US01001,
0500000US01003,
0500000US01005,
0500000US01007,
0500000US01009,
0500000US01011,
0500000US01023,
0500000US01025,
0500000US01027,
0500000US01033,
0500000US01035,
0500000US01043,
0500000US01047,
0500000US01051,
0500000US01055,
0500000US01059,
0500000US01063,
0500000US01065,
0500000US01071,
0500000US01073,
0500000US01085,
0500000US01087,
0500000US01089,
0500000US01091,
0500000US01095,
0500000US01097,
0500000US01099,
0500000US01107,
0500000US01109,
0500000US01113,
0500000US01115,
0500000US01117,
0500000US01119,
0500000US01121,
0500000US01129,
0500000US01131,
0500000US01013,
0500000US01015,
0500000US01017,
0500000US01019,
0500000US01021,
0500000US01123,
0500000US01125,
0500000US01127,
0500000US01133,
0500000US01101,
0500000US01069,
0500000US01081,
0500000US01083,
0500000US01093,
0500000US01103,
0500000US01105,
0500000US01111,
0500000US02013,
0500000US02016,
0500000US02020,
0500000US02050,
0500000US02060,
0500000US02068,
0500000US02070,
0500000US02090,
0500000US02105,
0500000US02110,
0500000US02122,
0500000US02130,
0500000US02164,
0500000US02170,
0500000US02180,
0500000US02185,
0500000US02188,
0500000US02220,
0500000US02240,
0500000US02270,
0500000US02275,
0500000US02290,
0500000US02195,
0500000US02198,
0500000US02230,
0500000US02261,
0500000US02282,
0500000US02100,
0500000US02150,
0500000US04001,
0500000US04003,
0500000US04005,
0500000US04007,
0500000US04009,
0500000US04011,
0500000US04012,
0500000US04013,
0500000US04015,
0500000US04017,
0500000US04019,
0500000US04021,
0500000US04023,
0500000US04025,
0500000US04027,
0500000US05049,
0500000US05051,
0500000US05053,
0500000US05055,
0500000US05059,
0500000US05065,
0500000US05071,
0500000US05075,
0500000US05077,
0500000US05001,
0500000US05003,
0500000US05005,
0500000US05007,
0500000US05011,
0500000US05013,
0500000US05017,
0500000US05019,
0500000US05021,
0500000US05029,
0500000US05037,
0500000US05039,
0500000US05041,
0500000US05045,
0500000US05057,
0500000US05061,
0500000US05063,
0500000US05067,
0500000US05069,
0500000US05073,
0500000US05081,
0500000US05085,
0500000US05091,
0500000US05093,
0500000US05095,
0500000US05097,
0500000US05099,
0500000US05103,
0500000US05107,
0500000US05109,
0500000US05117,
0500000US05121,
0500000US05131,
0500000US05133,
0500000US05139,
0500000US05145,
0500000US05147,
0500000US05009,
0500000US05015,
0500000US05023,
0500000US05025,
0500000US05027,
0500000US05031,
0500000US05033,
0500000US05035,
0500000US05043,
0500000US05047,
0500000US05143,
0500000US05149,
0500000US05079,
0500000US05083,
0500000US05087,
0500000US05089,
0500000US05101,
0500000US05105,
0500000US05111,
0500000US05113,
0500000US05115,
0500000US05119,
0500000US05123,
0500000US05125,
0500000US05127,
0500000US05129,
0500000US05135,
0500000US05137,
0500000US05141,
0500000US06035,
0500000US06049,
0500000US06075,
0500000US06083,
0500000US06091,
0500000US06095,
0500000US06101,
0500000US06105,
0500000US06111,
0500000US06115,
0500000US06033,
0500000US06071,
0500000US06087,
0500000US06001,
0500000US06003,
0500000US06005,
0500000US06007,
0500000US06009,
0500000US06011,
0500000US06013,
0500000US06015,
0500000US06017,
0500000US06019,
0500000US06021,
0500000US06023,
0500000US06025,
0500000US06027,
0500000US06029,
0500000US06031,
0500000US06037,
0500000US06039,
0500000US06041,
0500000US06043,
0500000US06045,
0500000US06047,
0500000US06051,
0500000US06053,
0500000US06055,
0500000US06057,
0500000US06059,
0500000US06061,
0500000US06063,
0500000US06065,
0500000US06067,
0500000US06069,
0500000US06073,
0500000US06077,
0500000US06079,
0500000US06081,
0500000US06085,
0500000US06089,
0500000US06093,
0500000US06097,
0500000US06099,
0500000US06103,
0500000US06107,
0500000US06109,
0500000US06113,
0500000US08053,
0500000US08061,
0500000US08063,
0500000US08071,
0500000US08073,
0500000US08075,
0500000US08079,
0500000US08085,
0500000US08087,
0500000US08089,
0500000US08095,
0500000US08099,
0500000US08101,
0500000US08103,
0500000US08105,
0500000US08001,2
0500000US08003,
0500000US08005,3
0500000US08007,
0500000US08009,
0500000US08011,
0500000US08013,
0500000US08015,
0500000US08019,
0500000US08023,
0500000US08027,
0500000US08029,
0500000US08031,5
0500000US08035,
0500000US08037,
0500000US08049,
0500000US08051,
0500000US08055,
0500000US08057,
0500000US08059,1
0500000US08065,
0500000US08067,
0500000US08069,
0500000US08077,
0500000US08081,
0500000US08083,
0500000US08091,
0500000US08093,
0500000US08097,
0500000US08107,
0500000US08109,
0500000US08111,
0500000US08113,
0500000US08117,
0500000US08014,
0500000US08017,
0500000US08021,
0500000US08025,
0500000US08033,
0500000US08039,
0500000US08041,
0500000US08043,
0500000US08045,
0500000US08047,
0500000US08115,
0500000US08119,
0500000US08121,
0500000US08123,
0500000US08125,
0500000US09001,
0500000US09003,
0500000US09005,
0500000US09007,
0500000US09009,
0500000US09011,
0500000US09013,
0500000US09015,
0500000US10001,
0500000US10003,
0500000US10005,
0500000US11001,
0500000US12013,
0500000US12015,
0500000US12019,
0500000US12021,
0500000US12027,
0500000US12035,
0500000US12067,
0500000US12081,
0500000US12085,
0500000US12087,
0500000US12091,
0500000US12099,1
0500000US12105,
0500000US12107,
0500000US12109,
0500000US12111,
0500000US12043,
0500000US12049,
0500000US12051,
0500000US12053,
0500000US12059,
0500000US12061,
0500000US12001,
0500000US12003,
0500000US12005,
0500000US12007,
0500000US12009,
0500000US12011,
0500000US12029,
0500000US12031,
0500000US12033,
0500000US12037,
0500000US12039,
0500000US12041,
0500000US12045,
0500000US12047,
0500000US12055,
0500000US12057,
0500000US12063,
0500000US12065,
0500000US12069,
0500000US12071,
0500000US12073,
0500000US12077,
0500000US12079,
0500000US12083,
0500000US12086,
0500000US12089,
0500000US12093,
0500000US12095,
0500000US12097,
0500000US12101,
0500000US12103,
0500000US12113,
0500000US12117,
0500000US12119,
0500000US12121,
0500000US12123,
0500000US12125,
0500000US12129,
0500000US12133,
0500000US12115,
0500000US12131,
0500000US12017,
